unit,=,ns,,,,,
SBox_Type,Stage_Num,Switch_Num,Output_Num,Input_Num,Num_Loads,Rise_Delay,Fall_Delay
SB_LC,0,2,0,2,2,0.1705609,0.177543
SB_LC,0,2,0,2,3,0.1942037,0.200684
SB_LC,0,2,0,3,1,0.1545933,0.1616869
SB_LC,0,2,0,3,2,0.1724845,0.1797417
SB_LC,0,2,0,3,3,0.1960012,0.2026723
SB_LC,0,2,0,4,1,0.1539442,0.1627365
SB_LC,0,2,0,4,2,0.1719406,0.179719
SB_LC,0,2,0,4,3,0.1957043,0.2034014
SB_LC,0,2,0,5,1,0.1590593,0.1684196
SB_LC,0,2,0,5,2,0.1758492,0.1838026
SB_LC,0,2,0,5,3,0.1983306,0.2076018
SB_LC,0,2,1,0,1,0.1048774,0.1098029
SB_LC,0,2,1,0,2,0.1238685,0.1289899
SB_LC,0,2,1,0,3,0.1450118,0.1493525
SB_LC,0,2,1,2,1,0.1271738,0.1389114
SB_LC,0,2,1,2,2,0.1473838,0.1597072
SB_LC,0,2,1,2,3,0.169238,0.1808637
SB_LC,0,2,1,3,1,0.1282571,0.1398272
SB_LC,0,2,1,3,2,0.1482901,0.1602529
SB_LC,0,2,1,3,3,0.1699392,0.1809734
SB_LC,0,2,1,4,1,0.1351391,0.1486392
SB_LC,0,2,1,4,2,0.150384,0.1647645
SB_LC,0,2,1,4,3,0.1724555,0.1861219
SB_LC,0,2,1,5,1,0.138693,0.1531647
SB_LC,0,2,1,5,2,0.1527855,0.1680859
SB_LC,0,2,1,5,3,0.1751217,0.190276
SB_LC,0,2,2,0,1,0.1224344,0.1236468
SB_LC,0,2,2,0,2,0.1423271,0.1441847
SB_LC,0,2,2,0,3,0.1648992,0.1660372
SB_LC,0,2,2,2,1,0.1494467,0.1586538
SB_LC,0,2,2,2,2,0.1691435,0.1785213
SB_LC,0,2,2,2,3,0.1910863,0.2005236
SB_LC,0,2,2,3,1,0.1524184,0.1625798
SB_LC,0,2,2,3,2,0.1705238,0.180587
SB_LC,0,2,2,3,3,0.1930461,0.2024733
SB_LC,0,2,2,4,1,0.1428882,0.1518174
SB_LC,0,2,2,4,2,0.1654816,0.1737502
SB_LC,0,2,2,4,3,0.1889788,0.1971448
SB_LC,0,2,2,5,1,0.1456872,0.1533157
SB_LC,0,2,2,5,2,0.1669481,0.1760175
SB_LC,0,2,2,5,3,0.1905779,0.1993108
SB_LC,0,3,0,0,1,0.1731571,0.1676988
SB_LC,0,3,0,0,2,0.2010335,0.1940665
SB_LC,0,3,0,0,3,0.2265346,0.2179615
SB_LC,0,3,0,1,1,0.1732484,0.1787692
SB_LC,0,3,0,1,2,0.2019547,0.205336
SB_LC,0,3,0,1,3,0.2272115,0.2286639
SB_LC,0,3,0,2,1,0.1500479,0.1583818
SB_LC,0,3,0,2,2,0.1691076,0.1779559
SB_LC,0,3,0,2,3,0.1928288,0.2010848
SB_LC,0,3,0,3,1,0.1542051,0.1615119
SB_LC,0,3,0,3,2,0.1711393,0.1797503
SB_LC,0,3,0,3,3,0.1949269,0.2033131
SB_LC,0,3,0,4,1,0.154615,0.162902
SB_LC,0,3,0,4,2,0.171076,0.180348
SB_LC,0,3,0,4,3,0.1939465,0.2035787
SB_LC,0,3,0,5,1,0.1576193,0.168455
SB_LC,0,3,0,5,2,0.1742578,0.1845409
SB_LC,0,3,0,5,3,0.1967384,0.2072155
SB_LC,0,3,1,0,1,0.1542592,0.1545437
SB_LC,0,3,1,0,2,0.1801929,0.1782327
SB_LC,0,3,1,0,3,0.2043578,0.2005909
SB_LC,0,3,1,1,1,0.1573905,0.1687605
SB_LC,0,3,1,1,2,0.1820473,0.1913538
SB_LC,0,3,1,1,3,0.2058921,0.2133226
SB_LC,0,3,1,2,1,0.1265211,0.13903
SB_LC,0,3,1,2,2,0.146643,0.1596077
SB_LC,0,3,1,2,3,0.168753,0.1808439
SB_LC,0,3,1,3,1,0.1264523,0.1379228
SB_LC,0,3,1,3,2,0.1472079,0.1590922
SB_LC,0,3,1,3,3,0.1693587,0.1807252
SB_LC,0,3,1,4,1,0.1347376,0.1483827
SB_LC,0,3,1,4,2,0.1503149,0.1642825
SB_LC,0,3,1,4,3,0.1715728,0.1858338
SB_LC,0,3,1,5,1,0.1377619,0.1534714
SB_LC,0,3,1,5,2,0.1534299,0.1680391
SB_LC,0,3,1,5,3,0.1742791,0.1891743
SB_LC,0,3,2,0,1,0.1551278,0.1552396
SB_LC,0,3,2,0,2,0.1809611,0.1793939
SB_LC,0,3,2,0,3,0.2047879,0.2012494
SB_LC,0,3,2,1,1,0.158366,0.1686745
SB_LC,0,3,2,1,2,0.1828159,0.1922265
SB_LC,0,3,2,1,3,0.2063022,0.2139801
SB_LC,0,3,2,2,1,0.1323084,0.1463356
SB_LC,0,3,2,2,2,0.1509154,0.1643166
SB_LC,0,3,2,2,3,0.1712848,0.1848694
SB_LC,0,3,2,3,1,0.1347444,0.1481645
SB_LC,0,3,2,3,2,0.1512477,0.1647776
SB_LC,0,3,2,3,3,0.1729684,0.1863175
SB_LC,0,3,2,4,1,0.1273622,0.1389363
SB_LC,0,3,2,4,2,0.147127,0.1599224
SB_LC,0,3,2,4,3,0.1684376,0.1811886
SB_LC,0,3,2,5,1,0.1285422,0.1412096
SB_LC,0,3,2,5,2,0.1491054,0.1619965
SB_LC,0,3,2,5,3,0.1699225,0.1822332
SB_LC,0,4,0,0,1,0.189625,0.189948
SB_LC,0,4,0,0,2,0.2244273,0.2168235
SB_LC,0,4,0,0,3,0.2534087,0.2441438
SB_LC,0,4,0,1,1,0.1713576,0.1616289
SB_LC,0,4,0,1,2,0.197827,0.185791
SB_LC,0,4,0,1,3,0.2221639,0.208069
SB_LC,0,4,0,2,1,0.1558767,0.1603072
SB_LC,0,4,0,2,2,0.1747964,0.1812382
SB_LC,0,4,0,2,3,0.1985489,0.2051096
SB_LC,0,4,0,3,1,0.1584638,0.1628278
SB_LC,0,4,0,3,2,0.1762109,0.1819703
SB_LC,0,4,0,3,3,0.1995608,0.2058973
SB_LC,0,4,0,4,1,0.1599845,0.1653752
SB_LC,0,4,0,4,2,0.1777,0.1839821
SB_LC,0,4,0,4,3,0.1997707,0.207204
SB_LC,0,4,0,5,1,0.1626955,0.1697119
SB_LC,0,4,0,5,2,0.1784587,0.1865596
SB_LC,0,4,0,5,3,0.2017631,0.2101789
SB_LC,0,4,1,0,1,0.1731351,0.1765675
SB_LC,0,4,1,0,2,0.2032062,0.2022597
SB_LC,0,4,1,0,3,0.2308229,0.2280786
SB_LC,0,4,1,1,1,0.1563261,0.1527189
SB_LC,0,4,1,1,2,0.1774056,0.1729056
SB_LC,0,4,1,1,3,0.2002685,0.1936943
SB_LC,0,4,1,2,1,0.1313308,0.1422008
SB_LC,0,4,1,2,2,0.151927,0.1638989
SB_LC,0,4,1,2,3,0.174104,0.1859502
SB_LC,0,4,1,3,1,0.1306519,0.142453
SB_LC,0,4,1,3,2,0.1522078,0.1631301
SB_LC,0,4,1,3,3,0.1738903,0.1852703
SB_LC,0,4,1,4,1,0.1389947,0.1526862
SB_LC,0,4,1,4,2,0.1565055,0.1692323
