unit,=,ns,,,,,
SBox_Type,Stage_Num,Switch_Num,Output_Num,Input_Num,Num_Loads,Rise_Delay,Fall_Delay
SB_LC,0,2,0,3,1,0.8214976,0.9287128
SB_LC,0,2,0,3,2,0.9451729,1.0637
SB_LC,0,2,0,3,3,1.0481,1.1773
SB_LC,0,2,0,4,1,0.8274884,0.9360436
SB_LC,0,2,0,4,2,0.9526658,1.0721
SB_LC,0,2,0,4,3,1.0506,1.1855
SB_LC,0,2,0,5,1,0.8447233,0.971784
SB_LC,0,2,0,5,2,0.9675774,1.1105
SB_LC,0,2,0,5,3,1.0624,1.2147
SB_LC,0,2,1,0,1,0.4659609,0.5646074
SB_LC,0,2,1,0,2,0.5834442,0.6986489
SB_LC,0,2,1,0,3,0.6960553,0.8258342
SB_LC,0,2,1,2,1,0.7285469,0.8534767
SB_LC,0,2,1,2,2,0.8517358,0.985764
SB_LC,0,2,1,2,3,0.9652476,1.1122
SB_LC,0,2,1,3,1,0.7331559,0.8505844
SB_LC,0,2,1,3,2,0.8508865,0.984458
SB_LC,0,2,1,3,3,0.9648454,1.1086
SB_LC,0,2,1,4,1,0.7648496,0.8961083
SB_LC,0,2,1,4,2,0.8844237,1.0252
SB_LC,0,2,1,4,3,0.9769461,1.1336
SB_LC,0,2,1,5,1,0.7836043,0.9307402
SB_LC,0,2,1,5,2,0.8995265,1.0616
SB_LC,0,2,1,5,3,0.9898249,1.1621
SB_LC,0,2,2,0,1,0.5248907,0.6137316
SB_LC,0,2,2,0,2,0.6453658,0.7540389
SB_LC,0,2,2,0,3,0.764852,0.8874305
SB_LC,0,2,2,2,1,0.8142898,0.9259429
SB_LC,0,2,2,2,2,0.9322212,1.0629
SB_LC,0,2,2,2,3,1.0389,1.1841
SB_LC,0,2,2,3,1,0.8251896,0.9389741
SB_LC,0,2,2,3,2,0.9416503,1.0739
SB_LC,0,2,2,3,3,1.0446,1.1875
SB_LC,0,2,2,4,1,0.790992,0.8974583
SB_LC,0,2,2,4,2,0.9141035,1.0337
SB_LC,0,2,2,4,3,1.0345,1.1723
SB_LC,0,2,2,5,1,0.7944958,0.9151357
SB_LC,0,2,2,5,2,0.9185305,1.0528
SB_LC,0,2,2,5,3,1.0422,1.1931
SB_LC,0,3,0,0,1,0.9349518,0.8915261
SB_LC,0,3,0,0,2,1.0606,1.0328
SB_LC,0,3,0,0,3,1.1813,1.1678
SB_LC,0,3,0,1,1,0.9003836,1.0048
SB_LC,0,3,0,1,2,1.031,1.1412
SB_LC,0,3,0,1,3,1.1474,1.2798
SB_LC,0,3,0,2,1,0.8103885,0.9189919
SB_LC,0,3,0,2,2,0.935394,1.0588
SB_LC,0,3,0,2,3,1.0409,1.1783
SB_LC,0,3,0,3,1,0.8281126,0.940804
SB_LC,0,3,0,3,2,0.9497179,1.0777
SB_LC,0,3,0,3,3,1.0513,1.1905
SB_LC,0,3,0,4,1,0.8265423,0.9392435
SB_LC,0,3,0,4,2,0.9485417,1.076
SB_LC,0,3,0,4,3,1.0489,1.1906
SB_LC,0,3,0,5,1,0.8419144,0.9706644
SB_LC,0,3,0,5,2,0.9660937,1.1131
SB_LC,0,3,0,5,3,1.0567,1.2211
SB_LC,0,3,1,0,1,0.8746029,0.8473244
SB_LC,0,3,1,0,2,0.9960035,0.9733391
