Ipsm.Iblquad.I_lqtr.I0.I34.I10.I_enjoint.I_jcb,646,107
Ipsm.Iblquad.I_lqtr.I0.I34.I10.I_hilojoint.I_jcb,646,106
Ipsm.Iblquad.I_lqtr.I0.I34.I6.I_enjoint.I_jcb,646,125
Ipsm.Iblquad.I_lqtr.I0.I34.I6.I_hilojoint.I_jcb,646,124
Ipsm.Iblquad.I_lqtr.I0.I34.I7.I_enjoint.I_jcb,646,121
Ipsm.Iblquad.I_lqtr.I0.I34.I7.I_hilojoint.I_jcb,646,120
Ipsm.Iblquad.I_lqtr.I0.I34.I8.I_enjoint.I_jcb,646,116
Ipsm.Iblquad.I_lqtr.I0.I34.I8.I_hilojoint.I_jcb,646,115
Ipsm.Iblquad.I_lqtr.I0.I34.I9.I_enjoint.I_jcb,646,111
Ipsm.Iblquad.I_lqtr.I0.I34.I9.I_hilojoint.I_jcb,646,110
Ipsm.Iblquad.I_lqtr.I0.I35.I10.I_enjoint.I_jcb,646,128
Ipsm.Iblquad.I_lqtr.I0.I35.I10.I_hilojoint.I_jcb,646,127
Ipsm.Iblquad.I_lqtr.I0.I35.I6.I_enjoint.I_jcb,646,146
Ipsm.Iblquad.I_lqtr.I0.I35.I6.I_hilojoint.I_jcb,646,145
Ipsm.Iblquad.I_lqtr.I0.I35.I7.I_enjoint.I_jcb,646,142
Ipsm.Iblquad.I_lqtr.I0.I35.I7.I_hilojoint.I_jcb,646,141
Ipsm.Iblquad.I_lqtr.I0.I35.I8.I_enjoint.I_jcb,646,137
Ipsm.Iblquad.I_lqtr.I0.I35.I8.I_hilojoint.I_jcb,646,136
Ipsm.Iblquad.I_lqtr.I0.I35.I9.I_enjoint.I_jcb,646,132
Ipsm.Iblquad.I_lqtr.I0.I35.I9.I_hilojoint.I_jcb,646,131
Ipsm.Iblquad.I_lqtr.I0.I36.I10.I_enjoint.I_jcb,646,170
Ipsm.Iblquad.I_lqtr.I0.I36.I10.I_hilojoint.I_jcb,646,169
